ID,longi,lati,spd,Time
407,72.8233,33.7049,37.9475,"2018-05-27 15:02:31"
406,72.8236,33.7047,36.2251,"2018-05-27 15:02:26"
405,72.824,33.7045,36.2251,"2018-05-27 15:02:22"
404,72.8243,33.7043,37.9104,"2018-05-27 15:02:18"
403,72.8247,33.704,37.9104,"2018-05-27 15:02:13"
402,72.8251,33.7038,63.8014,"2018-05-27 15:02:09"
401,72.8263,33.7026,63.8014,"2018-05-27 15:01:59"
400,72.827,33.7021,63.8014,"2018-05-27 15:01:54"
399,72.8279,33.7016,63.8014,"2018-05-27 15:01:49"
398,72.8294,33.7008,57.5787,"2018-05-27 15:01:39"
397,72.8301,33.7002,57.5787,"2018-05-27 15:01:35"
396,72.8306,33.6998,51.1708,"2018-05-27 15:01:31"
395,72.831,33.6992,51.1708,"2018-05-27 15:01:26"
394,72.8313,33.6988,32.2989,"2018-05-27 15:01:21"
393,72.8317,33.6984,32.2989,"2018-05-27 15:01:17"
392,72.8319,33.6981,32.5952,"2018-05-27 15:01:12"
391,72.8321,33.6979,32.5952,"2018-05-27 15:01:08"
390,72.8324,33.6976,31.8544,"2018-05-27 15:01:03"
389,72.8328,33.6972,31.8544,"2018-05-27 15:00:59"
388,72.8331,33.6968,31.8544,"2018-05-27 15:00:54"
387,72.8333,33.6966,20.5387,"2018-05-27 15:00:49"
386,72.8335,33.6964,20.5387,"2018-05-27 15:00:45"
385,72.8336,33.6962,36.2992,"2018-05-27 15:00:41"
384,72.8339,33.6958,36.2992,"2018-05-27 15:00:36"
383,72.8341,33.6956,22.6129,"2018-05-27 15:00:32"
382,72.8344,33.6955,22.6129,"2018-05-27 15:00:27"
381,72.8345,33.6953,70.1908,"2018-05-27 15:00:23"
380,72.8349,33.6948,70.1908,"2018-05-27 15:00:18"
379,72.8361,33.6935,69.0055,"2018-05-27 15:00:08"
378,72.8366,33.6927,69.0055,"2018-05-27 15:00:04"
377,72.837,33.6922,71.8206,"2018-05-27 14:59:59"
376,72.8375,33.6914,71.8206,"2018-05-27 14:59:55"
375,72.8379,33.6908,64.6348,"2018-05-27 14:59:51"
374,72.839,33.6893,64.6348,"2018-05-27 14:59:41"
373,72.8393,33.6887,61.1716,"2018-05-27 14:59:36"
372,72.8398,33.688,61.1716,"2018-05-27 14:59:32"
